onset	duration	trial_type	value	sample
6.754	1.0	Target	2	3377
6.89	1.0	NonTarget	1	3445
7.028	1.0	NonTarget	1	3514
7.164	1.0	NonTarget	1	3582
7.3	1.0	NonTarget	1	3650
7.438	1.0	NonTarget	1	3719
7.574	1.0	Target	2	3787
7.71	1.0	NonTarget	1	3855
7.846	1.0	Target	2	3923
7.982	1.0	NonTarget	1	3991
8.118	1.0	NonTarget	1	4059
8.256	1.0	NonTarget	1	4128
8.392	1.0	Target	2	4196
8.528	1.0	NonTarget	1	4264
8.666	1.0	NonTarget	1	4333
8.802	1.0	NonTarget	1	4401
8.938	1.0	NonTarget	1	4469
9.076	1.0	NonTarget	1	4538
9.212	1.0	Target	2	4606
9.348	1.0	NonTarget	1	4674
9.484	1.0	NonTarget	1	4742
9.62	1.0	Target	2	4810
9.756	1.0	NonTarget	1	4878
9.894	1.0	NonTarget	1	4947
10.03	1.0	Target	2	5015
10.166	1.0	NonTarget	1	5083
10.302	1.0	NonTarget	1	5151
10.438	1.0	NonTarget	1	5219
10.574	1.0	NonTarget	1	5287
10.71	1.0	Target	2	5355
10.848	1.0	NonTarget	1	5424
10.984	1.0	NonTarget	1	5492
11.122	1.0	NonTarget	1	5561
11.258	1.0	NonTarget	1	5629
11.396	1.0	NonTarget	1	5698
11.53	1.0	Target	2	5765
11.666	1.0	NonTarget	1	5833
11.804	1.0	Target	2	5902
11.94	1.0	NonTarget	1	5970
12.076	1.0	NonTarget	1	6038
